OTU,CDIF_SB_388__aln_sort.bam,CDIF_SB_70__aln_sort.bam,CDIF_SB_1206__aln_sort.bam,CDIF_SB_1317__aln_sort.bam,CDIF_SB_570__aln_sort.bam,CDIF_SB_840__aln_sort.bam,CDIF_SB_1173__aln_sort.bam,CDIF_SB_1352__aln_sort.bam,CDIF_SB_1231__aln_sort.bam,CDIF_SB_1000__aln_sort.bam,CDIF_SB_1378__aln_sort.bam,CDIF_SB_135__aln_sort.bam,CDIF_SB_425__aln_sort.bam,CDIF_SB_373__aln_sort.bam,CDIF_SB_1147__aln_sort.bam,CDIF_SB_769__aln_sort.bam,CDIF_SB_399__aln_sort.bam,CDIF_SB_520__aln_sort.bam,CDIF_SB_1061__aln_sort.bam,CDIF_SB_348__aln_sort.bam
CDIF_SB_1000_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959610000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1001_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1002_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000768,0.0,0.0,0.994353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1004_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.999858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1005_R1_001.fastq.gz,0.0,0.0,0.298076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1006_R1_001.fastq.gz,0.0,0.0,0.0,0.373229,0.0,0.0,0.0,0.41683400000000004,0.0,0.0005690000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1007_R1_001.fastq.gz,0.883814,0.0,0.0,0.001116,0.0,0.0,0.0,0.0013830000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1008_R1_001.fastq.gz,0.000594,0.0,0.0,0.20787399999999998,0.0,0.0,0.0,0.21350300000000003,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1009_R1_001.fastq.gz,0.013090000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_100_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1010_R1_001.fastq.gz,0.0,0.0,0.0,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1011_R1_001.fastq.gz,0.0,0.226987,0.0,1.9e-05,0.0,0.0,0.0,0.000731,0.24126,6e-06,0.0,0.0,0.0,0.0,0.0,0.119354,0.0,0.0,0.0,0.0
CDIF_SB_1012_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1013_R1_001.fastq.gz,0.0,0.0,0.0,0.001036,0.0,0.0,0.0,0.000229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1014_R1_001.fastq.gz,0.0,0.0,0.391703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1015_R1_001.fastq.gz,0.0,0.0,0.0,5.1e-05,0.001145,0.0,0.0,3.1e-05,0.0,0.0,0.0,0.0,0.0,0.358649,0.0,0.0,0.00017900000000000001,0.0,0.0,0.0
CDIF_SB_1016_R1_001.fastq.gz,0.015137999999999999,0.0,0.0,0.00031800000000000003,0.9831030000000001,0.0,0.0,0.000273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9843200000000001,0.0,0.41350699999999996,0.0
CDIF_SB_1017_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017044,0.0,0.0
CDIF_SB_1018_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51766
CDIF_SB_1019_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002539,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_101_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9347629999999999,0.0,0.0
CDIF_SB_1020_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1021_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000421,0.0
CDIF_SB_1022_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1023_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1024_R1_001.fastq.gz,0.0,0.0,0.0,8.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4e-05
CDIF_SB_1025_R1_001.fastq.gz,0.0,0.0,0.025487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1026_R1_001.fastq.gz,0.0,0.0,0.0,0.025127,8e-06,0.0,0.0,0.056619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000339,0.000674
CDIF_SB_1027_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1028_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,8.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1029_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076489999999999995,0.0,0.0
CDIF_SB_102_R1_001.fastq.gz,0.0,0.0,0.08301900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1030_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000138
CDIF_SB_1031_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1032_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1033_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000207
CDIF_SB_1034_R1_001.fastq.gz,0.004511,0.00010700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000544,0.0
CDIF_SB_1035_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.00657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006425,0.0,0.050959,0.000248
CDIF_SB_1036_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1037_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011599999999999999,0.0
CDIF_SB_1038_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1039_R1_001.fastq.gz,0.0,0.005614,0.0,0.0,0.0,0.0,0.0,0.0,0.004882,0.0,0.0,0.0,0.0,0.0,0.0,0.00232,0.0,0.0,0.0,0.00011999999999999999
CDIF_SB_103_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.000151,0.000762
CDIF_SB_1040_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDIF_SB_1041_R1_001.fastq.gz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
