ref_strain	ST	test_strain	rel_abundance	snvs	same_strain
CDIF_1000	231	CDIF_1000	0.995961	0	TRUE
CDIF_1053	8	CDIF_1061	0.001616	22	FALSE
CDIF_1051	8	CDIF_1061	0.046945	15	FALSE
CDIF_1035	8	CDIF_1061	0.050959	43	FALSE
CDIF_1016	8	CDIF_1061	0.413507	19	FALSE
CDIF_1061	8	CDIF_1061	0.48442299999999994	0	TRUE
CDIF_1147	286	CDIF_1147	0.995776	0	TRUE
CDIF_1032	11	CDIF_1173	2e-5	30	FALSE
CDIF_1173	11	CDIF_1173	4e-5	0	TRUE
CDIF_1028	11	CDIF_1173	8.1e-5	36	FALSE
CDIF_1004	11	CDIF_1173	0.999858	35	FALSE
CDIF_1144	1	CDIF_1206	5.83e-4	16	FALSE
CDIF_1104	1	CDIF_1206	0.009154	18	FALSE
CDIF_1025	1	CDIF_1206	0.025487	19	FALSE
CDIF_102	1	CDIF_1206	0.08301900000000001	17	FALSE
CDIF_1206	1	CDIF_1206	0.191978	0	TRUE
CDIF_1005	1	CDIF_1206	0.298076	25	FALSE
CDIF_1014	1	CDIF_1206	0.391703	19	FALSE
CDIF_1130	2	CDIF_1231	4.26e-4	30	FALSE
CDIF_10	2	CDIF_1231	0.00141	25	FALSE
CDIF_111	2	CDIF_1231	0.002003	26	FALSE
CDIF_1078	2	CDIF_1231	0.002588	31	FALSE
CDIF_1155	2	CDIF_1231	0.00299	17	FALSE
CDIF_1135	2	CDIF_1231	0.003009	28	FALSE
CDIF_1039	2	CDIF_1231	0.004882	586	FALSE
CDIF_114	2	CDIF_1231	0.01292	28	FALSE
CDIF_1056	2	CDIF_1231	0.020776	20	FALSE
CDIF_1126	2	CDIF_1231	0.040385	29	FALSE
CDIF_1052	2	CDIF_1231	0.091073	34	FALSE
CDIF_1048	2	CDIF_1231	0.208129	31	FALSE
CDIF_1011	2	CDIF_1231	0.24126	30	FALSE
CDIF_1231	2	CDIF_1231	0.368047	0	TRUE
CDIF_104	42	CDIF_1317	5.8099999999999e-4	16	FALSE
CDIF_1062	42	CDIF_1317	0.016108	18	FALSE
CDIF_1026	42	CDIF_1317	0.025127	15	FALSE
CDIF_1008	42	CDIF_1317	0.207874	18	FALSE
CDIF_1006	42	CDIF_1317	0.373229	23	FALSE
CDIF_1299	42	CDIF_1317	0.374451	1	FALSE
CDIF_1109	1	CDIF_135	0.00292899999999999	23	FALSE
CDIF_1005	1	CDIF_135	0.047602	43	FALSE
CDIF_135	1	CDIF_135	0.049387	0	TRUE
CDIF_1025	1	CDIF_135	0.05656	23	FALSE
CDIF_1227	1	CDIF_135	0.196843	17	FALSE
CDIF_1325	1	CDIF_135	0.30603	3	FALSE
CDIF_1014	1	CDIF_135	0.34065	25	FALSE
CDIF_104	42	CDIF_1352	0.003143	11	FALSE
CDIF_1255	42	CDIF_1352	0.004562	15	FALSE
CDIF_1207	42	CDIF_1352	0.005567	18	FALSE
CDIF_1087	42	CDIF_1352	0.032275	19	FALSE
CDIF_1026	42	CDIF_1352	0.056619	10	FALSE
CDIF_1008	42	CDIF_1352	0.21350300000000005	17	FALSE
CDIF_1352	42	CDIF_1352	0.264853	0	TRUE
CDIF_1006	42	CDIF_1352	0.416834	18	FALSE
CDIF_1378	323	CDIF_1378	0.990482	0	TRUE
CDIF_348	53	CDIF_348	0.023233	0	TRUE
