ref_strain	ST	test_strain	rel_abundance
CDIF_1000	231	CDIF_1000	0.995961
CDIF_1001	10	CDIF_1000	0.002691
CDIF_1002	4	CDIF_1000	7.68e-4
CDIF_1002	4	CDIF_425	0.994353
CDIF_1004	11	CDIF_1173	0.999858
CDIF_1005	1	CDIF_1206	0.298076
CDIF_1005	1	CDIF_135	0.047602
CDIF_1006	42	CDIF_1317	0.373229
CDIF_1006	42	CDIF_1352	0.416834
CDIF_1006	42	CDIF_1000	5.69e-4
CDIF_1007	54	CDIF_1317	0.001116
CDIF_1007	54	CDIF_1352	0.001383
CDIF_1008	42	CDIF_1317	0.207874
CDIF_1008	42	CDIF_1352	0.21350300000000005
CDIF_1008	42	CDIF_1000	2e-6
CDIF_1010	55	CDIF_1317	6e-6
CDIF_1011	2	CDIF_70	0.226987
CDIF_1011	2	CDIF_1317	1.9e-5
CDIF_1011	2	CDIF_1352	7.31e-4
CDIF_1011	2	CDIF_1231	0.24126
CDIF_1011	2	CDIF_1000	6e-6
CDIF_1011	2	CDIF_769	0.119354
CDIF_1013	14	CDIF_1317	0.001036
CDIF_1013	14	CDIF_1352	2.29e-4
CDIF_1014	1	CDIF_1206	0.391703
CDIF_1014	1	CDIF_135	0.34065
CDIF_1015	3	CDIF_1317	5.1e-5
CDIF_1015	3	CDIF_570	0.001145
CDIF_1015	3	CDIF_1352	3.1e-5
CDIF_1015	3	CDIF_373	0.358649
CDIF_1015	3	CDIF_399	1.79e-4
CDIF_1016	8	CDIF_1317	3.18e-4
CDIF_1016	8	CDIF_570	0.983103
CDIF_1016	8	CDIF_1352	2.73e-4
CDIF_1016	8	CDIF_399	0.98432
CDIF_1016	8	CDIF_1061	0.413507
CDIF_1017	14	CDIF_520	0.017044
CDIF_1018	53	CDIF_348	0.51766
CDIF_1019	4	CDIF_425	0.002539
CDIF_101	49	CDIF_520	0.934763
CDIF_1021	14	CDIF_1061	4.21e-4
CDIF_1022	13	CDIF_1231	1.02e-4
CDIF_1024	58	CDIF_1317	8.3e-5
CDIF_1024	58	CDIF_348	7.4e-5
CDIF_1025	1	CDIF_1206	0.025487
CDIF_1025	1	CDIF_135	0.05656
CDIF_1026	42	CDIF_1317	0.025127
CDIF_1026	42	CDIF_570	8e-6
CDIF_1026	42	CDIF_1352	0.056619
CDIF_1026	42	CDIF_1061	3.39e-4
CDIF_1026	42	CDIF_348	6.74e-4
CDIF_1028	11	CDIF_1173	8.1e-5
CDIF_1029	49	CDIF_520	0.00764899999999999
CDIF_102	1	CDIF_1206	0.08301900000000001
CDIF_1030	42	CDIF_348	1.38e-4
CDIF_1032	11	CDIF_1173	2e-5
CDIF_1033	55	CDIF_348	2.07e-4
CDIF_1034	54	CDIF_70	1.07e-4
CDIF_1034	54	CDIF_1061	5.44e-4
CDIF_1035	8	CDIF_570	0.00657
CDIF_1035	8	CDIF_399	0.006425
CDIF_1035	8	CDIF_1061	0.050959
CDIF_1035	8	CDIF_348	2.48e-4
CDIF_1037	3	CDIF_1061	1.1599999999999e-4
CDIF_1039	2	CDIF_70	0.005614
CDIF_1039	2	CDIF_1231	0.004882
CDIF_1039	2	CDIF_769	0.00232
CDIF_1039	2	CDIF_348	1.1999999999999e-4
CDIF_103	4	CDIF_425	1.4e-5
CDIF_103	4	CDIF_1061	1.51e-4
CDIF_103	4	CDIF_348	7.62e-4
CDIF_1042	53	CDIF_348	0.190718
CDIF_1044	42	CDIF_1061	2.2e-5
